airport,easting,northing,elevation,radius,height
KABQ,-579.128359975479,630.815040316466,5355,65.1732,18000
KATL,534.159579728178,541.437591695747,1026,65.1732,18000
KBNA,411.335315142259,684.882239580426,599,65.1732,18000
KBOS,1112.34151258513,1158.20309568029,20,65.1732,18000
KBUR,-1169.71539135796,655.909394979934,778,65.1732,18000
KBWI,878.57616852033,919.693908823169,146,65.1732,18000
KCID,153.989404163595,1031.27596442949,869.4,65.1732,18000
KCLE,617.43330569599,1029.46683905847,799.4,65.1732,18000
KCLT,699.453475454238,652.901137033723,748,65.1732,18000
KCMH,576.723612359683,937.110242483879,814.7,65.1732,18000
KCOS,-467.58488710426,854.077300473384,6187,65.1732,18000
KCVG,496.795825980383,871.331859834567,896,65.1732,18000
KDAL,-94.3207919964628,473.303453959601,487,65.1732,18000
KDCA,863.592518667676,897.481135760527,14.9,65.1732,18000
KDEN,-461.565771983585,919.348291376261,5433.8,65.1732,18000
KDFW,-103.747366772221,476.470353064938,607,65.1732,18000
KDSM,62.8203135334857,1007.66383482427,958,65.1732,18000
KDTW,542.923520728395,1073.32938599587,645.2,65.1732,18000
KELP,-583.986050833922,434.20461577987,3961.6,65.1732,18000
KEWR,982.995547899042,1030.35498346275,18,65.1732,18000
KFAT,-1208.55497175377,822.707638710706,336,65.1732,18000
KFLL,799.275118006638,108.238689403102,9,65.1732,18000
KHOU,-14.6077757568526,279.222057944991,46,65.1732,18000
KIAD,842.658878253343,900.658746054574,312,65.1732,18000
KIAH,-17.8025617652925,299.656947689589,96.4,65.1732,18000
KIND,416.021480001842,907.217641742962,797,65.1732,18000
KJFK,1001.76630424025,1029.93835604861,14,65.1732,18000
KLAX,-1174.85113965191,640.813583752209,125,65.1732,18000
KLGA,996.036284905193,1037.70240313844,21,65.1732,18000
KLGB,-1163.40932159041,631.178848416226,60,65.1732,18000
KLIT,138.981833456935,588.464400569976,266,65.1732,18000
KMCI,13.7325382648416,867.847502612732,1026,65.1732,18000
KMCO,722.990205229092,242.547060207727,96,65.1732,18000
KMDW,339.552161785839,1032.26189755667,619.8,65.1732,18000
KMEM,250.82271846784,610.773849718966,341,65.1732,18000
KMIA,793.736737688154,90.838792896292,8.5,65.1732,18000
KMKE,328.930700407976,1105.02981067871,729,65.1732,18000
KMSP,80.756002948943,1220.17917083388,841.9,65.1732,18000
KMSY,247.496057706383,304.505848195423,4,65.1732,18000
KOAK,-1317.72119451795,903.070712324986,9,65.1732,18000
KOKC,-129.491263119847,628.793880725707,1295,65.1732,18000
KONT,-1133.58006258105,640.775973364633,944,65.1732,18000
KORD,331.652816449347,1044.18823375459,672,65.1732,18000
KPBI,798.311823508602,144.991035215463,20,65.1732,18000
KPDX,-1235.65660403565,1391.28365585733,31,65.1732,18000
KPHL,940.211551097579,972.134022242109,36,65.1732,18000
KPHX,-859.704732564156,562.281179421533,1135,65.1732,18000
KPSP,-1081.35282901221,618.279606267939,477,65.1732,18000
KRDU,801.757169873633,705.19518661325,435,65.1732,18000
KRSW,710.61178419169,126.976238716877,30,65.1732,18000
KSAN,-1126.22984831443,558.184037944567,16.8,65.1732,18000
KSDF,449.22275238012,813.626746603225,501,65.1732,18000
KSEA,-1198.90939280941,1507.00144003554,433,65.1732,18000
KSFO,-1326.33484417519,898.416271579442,13,65.1732,18000
KSJC,-1308.12264175772,878.640183537224,62,65.1732,18000
KSLC,-801.494879187575,1010.87594907516,4227,65.1732,18000
KSMF,-1275.90142371295,955.99998698442,27,65.1732,18000
KSNA,-1150.72312276577,620.250056921631,56,65.1732,18000
KSTL,223.432024736895,837.628547109229,618,65.1732,18000
KTPA,661.051994738428,209.123469195822,26,65.1732,18000
KTUL,-43.8891634692304,676.929024373291,677.5,65.1732,18000
KTUS,-815.21151109287,476.365181053847,2643.2,65.1732,18000
KXNA,34.1757477879851,682.018036120115,1288,65.1732,18000
